id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,last_updated_quote
1720,IOTA,MIOTA,iota,70,2017-06-13T00:00:00.000Z,"['dag', 'medium-of-exchange', 'iot', 'sharing-economy']",2779530283.0,2779530283.0,2779530283.0,,22,2021-02-16T16:53:07.000Z,1.2494546834512,492985291.2370022,-2.87785266,5.06371657,71.71578492,3472897129.888789,2021-02-16T16:53:07.000Z
2011,Tezos,XTZ,tezos,158,2017-10-06T00:00:00.000Z,"['platform', 'enterprise-solutions', 'smart-contracts', 'binance-chain', 'polychain-capital-portfolio']",,760158062.060822,760158062.060822,,23,2021-02-16T16:53:10.000Z,4.51550798959981,803069887.4361775,-3.73865712,-5.53114549,25.62445488,3432499802.59435,2021-02-16T16:53:10.000Z
873,NEM,XEM,nem,103,2015-04-01T00:00:00.000Z,"['poi', 'medium-of-exchange', 'payments', 'smart-contracts']",8999999999.0,8999999999.0,8999999999.0,,24,2021-02-16T16:53:07.000Z,0.375203721851,157062545.4714565,-1.5353378,-2.97601904,13.34468652,3376833496.2837963,2021-02-16T16:53:07.000Z
2416,THETA,THETA,theta,50,2018-01-17T00:00:00.000Z,"['media', 'collectibles-nfts', 'content-creation', 'video']",1000000000.0,1000000000.0,1000000000.0,,25,2021-02-16T16:54:04.000Z,3.23913950883038,218286560.76860812,-2.89969255,-7.33452282,14.24908798,3239139508.83038,2021-02-16T16:54:04.000Z
3077,VeChain,VET,vechain,122,2017-08-22T00:00:00.000Z,"['logistics', 'data-provenance', 'smart-contracts']",86712634466.0,64315576989.0,86712634466.0,,26,2021-02-16T16:54:02.000Z,0.04852908792924,691324982.5286741,-4.41754152,-5.82194058,36.98858718,3121176290.918986,2021-02-16T16:54:02.000Z
5805,Avalanche,AVAX,avalanche,48,2020-07-13T00:00:00.000Z,"['defi', 'polychain-capital-portfolio']",720000000.0,76937055.27646953,360000000.0,,27,2021-02-16T16:53:07.000Z,37.86475344241577,377657461.5667171,0.81953366,-9.99962087,30.41702703,2913202628.6290317,2021-02-16T16:53:07.000Z
1376,Neo,NEO,neo,274,2016-09-08T00:00:00.000Z,"['platform', 'enterprise-solutions', 'smart-contracts']",100000000.0,70538831.0,100000000.0,,28,2021-02-16T16:54:04.000Z,41.38546704842676,2003003487.3739543,-2.33165379,-3.89935269,30.39410039,2919282465.985044,2021-02-16T16:54:04.000Z
4172,Terra,LUNA,terra-luna,40,2019-07-26T00:00:00.000Z,"['store-of-value', 'defi', 'payments', 'stablecoin-algorithmically-stabilized']",,446794727.71108,956329164.305117,,29,2021-02-16T16:54:03.000Z,6.22829866072165,336593205.0176588,-2.86891432,8.71384909,-6.24629153,2782771004.220414,2021-02-16T16:54:03.000Z
2586,Synthetix,SNX,synthetix-network-token,162,2018-03-14T00:00:00.000Z,"['services', 'defi', 'dao', 'yield-farming', 'three-arrows-capital-portfolio']",212424133.0,114841533.01197928,215258834.2449152,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f'}",30,2021-02-16T16:53:07.000Z,23.87063584829188,354690524.3041309,-2.18537604,-6.51588245,10.77923637,2741340414.788548,2021-02-16T16:53:07.000Z
6719,The Graph,GRT,the-graph,81,2020-12-17T00:00:00.000Z,"['ai-big-data', 'enterprise-solutions']",10000000000.0,1245666867.0,0.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc944e90c64b2c07662a292be6244bdf05cda44a7'}",31,2021-02-16T16:53:07.000Z,2.05339287308238,664046967.0503147,-2.96191894,-13.40467605,109.00746307,2557843466.932657,2021-02-16T16:53:07.000Z
131,Dash,DASH,dash,366,2014-02-14T00:00:00.000Z,"['mineable', 'hybrid-pow-pos', 'x11', 'medium-of-exchange', 'privacy', 'masternodes']",18900000.0,9977097.99881791,9977097.99881791,,32,2021-02-16T16:54:03.000Z,254.3401436462704,3366671506.806712,-3.25600965,-8.08519779,98.71831733,2537576538.192264,2021-02-16T16:54:03.000Z
1518,Maker,MKR,maker,193,2017-01-29T00:00:00.000Z,"['store-of-value', 'defi', 'dao', 'polychain-capital-portfolio']",1005577.0,995691.56597758,995691.56597758,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2'}",33,2021-02-16T16:54:05.000Z,2455.4437974158163,159712314.64108512,-3.24402091,-1.35447189,-2.39312853,2444864679.81889,2021-02-16T16:54:05.000Z
2502,Huobi Token,HT,huobi-token,178,2018-02-03T00:00:00.000Z,"['marketplace', 'discount-token', 'payments']",500000000.0,195094192.2544121,500000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6f259637dcd74c767781e37bc6133cd6a68aa161'}",34,2021-02-16T16:54:06.000Z,12.05918956231644,346873494.99811155,0.20980097,-2.50261953,23.62778137,2352677846.9029636,2021-02-16T16:54:06.000Z
6892,Elrond,EGLD,elrond-egld,29,2020-09-04T00:00:00.000Z,[],31415926.0,16967022.47694395,21199742.0,,35,2021-02-16T16:53:07.000Z,133.5717064636655,420850789.45632565,-4.8580435,-5.37852237,-32.12279554,2266314145.852772,2021-02-16T16:53:07.000Z
2280,Filecoin,FIL,filecoin,105,2017-12-13T00:00:00.000Z,"['mineable', 'distributed-computing', 'filesharing', 'ipfs', 'polychain-capital-portfolio']",2000000000.0,52230392.0,52230392.0,,36,2021-02-16T16:54:04.000Z,41.84292308881801,1070139877.7188435,-4.45823371,-7.84962827,25.88313314,2185472275.3548155,2021-02-16T16:54:04.000Z
4030,Algorand,ALGO,algorand,131,2019-06-20T00:00:00.000Z,"['pos', 'platform', 'research', 'smart-contracts']",10000000000.0,1625635985.757661,3700000000.0,,37,2021-02-16T16:53:10.000Z,1.31864916159642,923615651.5080988,-4.30304325,-12.88075115,29.86157581,2143643529.6803095,2021-02-16T16:53:10.000Z
5426,Solana,SOL,solana,34,2020-04-10T00:00:00.000Z,"['dpos', 'platform']",488630611.0,261900137.02858052,488630611.0,,38,2021-02-16T16:54:05.000Z,8.12074878839605,80255960.78179732,-4.16662478,-9.35493727,5.35122139,2126825220.4556046,2021-02-16T16:54:05.000Z
5692,Compound,COMP,compound,164,2020-06-16T00:00:00.000Z,"['defi', 'dao', 'yield-farming', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio']",10000000.0,4611497.71221574,10000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc00e94cb662c3520282e6f5717214004a7f26888'}",39,2021-02-16T16:54:06.000Z,448.5375923121851,550636098.8490115,-3.54244745,-5.13509119,-3.48344625,2068430080.790398,2021-02-16T16:54:06.000Z
4943,Dai,DAI,multi-collateral-dai,365,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin']",,2073650472.6017103,2073650498.4218554,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6b175474e89094c44da98b954eedeac495271d0f'}",40,2021-02-16T16:53:07.000Z,1.00090425899362,259268548.05151677,0.00306588,0.03359121,-0.00624838,2075525589.6911845,2021-02-16T16:53:07.000Z
6758,SushiSwap,SUSHI,sushiswap,150,2020-08-28T00:00:00.000Z,"['defi', 'memes', 'dao', 'yield-farming', 'amm', 'yearn-partnerships']",250000000.0,127244443.0,195902559.83808577,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6b3595068778dd592e39a122f4f5a5cf09c90fe2'}",41,2021-02-16T16:54:06.000Z,15.84894796650629,778283059.8482654,-3.33827458,-4.22531427,13.27639852,2016690556.1340754,2021-02-16T16:54:06.000Z
4195,FTX Token,FTT,ftx-token,38,2019-07-31T00:00:00.000Z,"['marketplace', 'derivatives']",,94346957.5237492,345219293.59097695,"{'id': 1839, 'name': 'Binance Chain', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'FTT-F11'}",42,2021-02-16T16:54:03.000Z,20.7988031234369,46177706.72431429,-1.92465627,2.352668,14.0867657,1962303794.8317235,2021-02-16T16:54:03.000Z
3635,Crypto.com Coin,CRO,crypto-com-coin,109,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'mobile', 'payments']",100000000000.0,23195433788.62102,100000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b'}",43,2021-02-16T16:54:06.000Z,0.08461248166667,107443115.63173668,-1.80206451,-1.96725304,21.3746954,1962623216.190154,2021-02-16T16:54:06.000Z
1437,Zcash,ZEC,zcash,269,2016-10-29T00:00:00.000Z,"['mineable', 'pow', 'equihash', 'medium-of-exchange', 'zero-knowledge-proofs', 'binance-chain']",21000000.0,11145462.5,11145462.5,,44,2021-02-16T16:54:05.000Z,157.98235586762917,1996179202.6862855,-1.71517089,-6.41172027,50.6466409,1760786422.9843159,2021-02-16T16:54:05.000Z
4687,Binance USD,BUSD,binance-usd,314,2019-09-20T00:00:00.000Z,"['store-of-value', 'stablecoin', 'stablecoin-asset-backed', 'binance-chain']",,1763036425.87,1763036425.87,"{'id': 1839, 'name': 'Binance Chain', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'BUSD-BD1'}",45,2021-02-16T16:54:06.000Z,0.9999,3211132050.0011454,0.0,0.0,-0.039988,1762860122.227413,2021-02-16T16:54:06.000Z
1321,Ethereum Classic,ETC,ethereum-classic,288,2016-07-24T00:00:00.000Z,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts']",210700000.0,116313299.0,116313299.0,,46,2021-02-16T16:54:05.000Z,14.23009843944637,2371592177.0640006,-2.56534184,-8.11681714,54.49665393,1655149694.586759,2021-02-16T16:54:05.000Z
5034,Kusama,KSM,kusama,66,2019-12-12T00:00:00.000Z,"['substrate', 'dot-ecosystem']",,8470098.05726206,9651217.45126206,,47,2021-02-16T16:53:09.000Z,192.32373250056312,472903385.9354923,-5.03602165,-6.21481914,48.17845141,1629000873.0184076,2021-02-16T16:53:09.000Z
5864,yearn.finance,YFI,yearn-finance,246,2020-07-18T00:00:00.000Z,"['defi', 'yield-farming', 'yield-aggregator', 'yearn-partnerships', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio']",36666.0,36634.7914348,36666.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e'}",48,2021-02-16T16:53:08.000Z,42550.72979436419,727184949.1995142,-1.13469486,-1.08788658,31.62444469,1558837111.4150622,2021-02-16T16:53:08.000Z
1168,Decred,DCR,decred,55,2016-02-10T00:00:00.000Z,"['mineable', 'hybrid-pow-pos', 'blake256', 'medium-of-exchange', 'store-of-value', 'privacy', 'dao']",21000000.0,12608996.38436704,12608996.38436704,,49,2021-02-16T16:54:03.000Z,116.70205568909233,42691747.84429272,-2.03172951,5.09627069,17.32384932,1471495798.231966,2021-02-16T16:54:03.000Z
5617,UMA,UMA,uma,82,2020-05-25T00:00:00.000Z,"['defi', 'oracles', 'dao', 'coinbase-ventures-portfolio']",101172570.0,55806133.26291581,101430764.14888221,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828'}",50,2021-02-16T16:54:05.000Z,25.50353030555763,90481749.4778306,-3.29009677,-7.48013153,-12.73334176,1423253410.906761,2021-02-16T16:54:05.000Z
3957,UNUS SED LEO,LEO,unus-sed-leo,25,2019-05-21T00:00:00.000Z,"['marketplace', 'discount-token', 'payments']",,999498892.9,999498892.9,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'}",51,2021-02-16T16:53:08.000Z,1.38073155371507,17743644.56049215,-0.05458406,-0.13601414,-0.68494189,1380039659.3303092,2021-02-16T16:53:08.000Z
2469,Zilliqa,ZIL,zilliqa,114,2018-01-25T00:00:00.000Z,"['mineable', 'platform', 'payments', 'polychain-capital-portfolio']",21000000000.0,10956884767.020142,14248351920.020142,,52,2021-02-16T16:54:05.000Z,0.12496377267058,287199807.26982886,-3.18289847,-4.19532864,35.75714845,1369213657.203646,2021-02-16T16:54:05.000Z
2700,Celsius,CEL,celsius,23,2018-05-18T00:00:00.000Z,[],,238863519.826,695658160.967,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d'}",53,2021-02-16T16:53:08.000Z,5.42585192688819,6992125.34498598,-0.61271596,0.40759791,-3.92693772,1296038089.3111975,2021-02-16T16:53:08.000Z
1896,0x,ZRX,0x,236,2017-08-16T00:00:00.000Z,"['platform', 'decentralized-exchange', 'defi', 'dao', 'substrate', 'polkadot', 'dot-ecosystem', 'polychain-capital-portfolio']",1000000000.0,750306450.6804194,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xe41d2489571d322189246dafa5ebde1f4699f498'}",54,2021-02-16T16:53:09.000Z,1.55817821957272,306678434.10640377,-2.43324926,-9.77982947,4.14166675,1169111169.455143,2021-02-16T16:53:09.000Z
6535,NEAR Protocol,NEAR,near-protocol,29,2020-08-11T00:00:00.000Z,"['platform', 'staking', 'coinbase-ventures-portfolio']",1000000000.0,287874283.0,1000000000.0,,55,2021-02-16T16:54:05.000Z,3.94976454384754,92660369.41299647,-4.57771504,-8.39013477,20.36639959,1137035636.0789325,2021-02-16T16:54:05.000Z
3718,BitTorrent,BTT,bittorrent,134,2019-01-31T00:00:00.000Z,"['platform', 'distributed-computing', 'filesharing', 'ipfs']",,989962509444.934,990000000000.0,"{'id': 1958, 'name': 'Tron', 'symbol': 'TRX', 'slug': 'tron', 'token_address': '1002000'}",56,2021-02-16T16:53:07.000Z,0.00114755547152,718529049.1910429,-3.01483581,-1.41141767,-11.00678882,1136036894.3132038,2021-02-16T16:53:07.000Z
1274,Waves,WAVES,waves,155,2016-06-02T00:00:00.000Z,"['lpos', 'platform', 'smart-contracts']",,104348236.0,104348236.0,,57,2021-02-16T16:54:04.000Z,10.34820446078768,157743041.65533736,-3.04847313,-11.64795485,-1.96899943,1079816881.2505257,2021-02-16T16:54:04.000Z
2135,Revain,REV,revain,24,2017-11-01T00:00:00.000Z,"['platform', 'reputation', 'smart-contracts']",,85061485689.83401,85061485689.83401,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2ef52Ed7De8c5ce03a4eF0efbe9B7450F2D7Edc9'}",58,2021-02-16T16:54:03.000Z,0.01211137601907,6402004.83069216,-0.01217169,-0.11345984,3.82614741,1030211637.9303216,2021-02-16T16:54:03.000Z
109,DigiByte,DGB,digibyte,104,2014-02-06T00:00:00.000Z,"['mineable', 'pow', 'multiple-algorithms', 'medium-of-exchange', 'privacy', 'payments']",21000000000.0,14042349763.09429,14042349763.09429,,59,2021-02-16T16:54:03.000Z,0.07216656877492,165446047.47738913,-2.73271267,-1.87345191,35.883404,1013388199.9398257,2021-02-16T16:54:03.000Z
2694,Nexo,NEXO,nexo,43,2018-05-01T00:00:00.000Z,"['services', 'payments']",1000000000.0,560000011.0,1000000000.0,"{'id': 1839, 'name': 'Binance Chain', 'symbol': 'BNB', 'slug': 'binance-coin', 'token_address': 'NEXO-A84'}",60,2021-02-16T16:54:06.000Z,1.77402927356093,23616849.59788014,-0.39172502,5.98363236,3.58575043,993456412.7084428,2021-02-16T16:54:06.000Z
4642,Hedera Hashgraph,HBAR,hedera-hashgraph,41,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'payments']",,7139812184.0,50000000000.0,,61,2021-02-16T16:54:06.000Z,0.13645927198025,153482925.98823208,-1.95238358,-1.78491467,34.22983638,974293572.7043588,2021-02-16T16:54:06.000Z
2099,ICON,ICX,icon,69,2017-10-27T00:00:00.000Z,"['platform', 'enterprise-solutions', 'interoperability']",,584996218.3239596,800460000.0,,62,2021-02-16T16:54:02.000Z,1.62079810191334,379901864.1695579,-4.66194543,-7.30328616,80.30145803,948160760.2859555,2021-02-16T16:54:02.000Z
2539,Ren,REN,ren,118,2018-02-21T00:00:00.000Z,"['marketplace', 'defi', 'dot-ecosystem']",1000000000.0,995363051.0169293,999999632.80375,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x408e41876cccdc0f92210600ef50372656052a38'}",63,2021-02-16T16:54:06.000Z,0.95177480359534,403737679.65935946,-3.66601118,0.2363858,8.68403706,947361472.3876961,2021-02-16T16:54:06.000Z
5777,renBTC,RENBTC,renbtc,21,2020-06-28T00:00:00.000Z,"['defi', 'dot-ecosystem']",13698.0,18449.49969457,18449.49969457,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xeb4c2781e4eba804ce9a9803c67d0893436bb27d'}",64,2021-02-16T16:53:07.000Z,48651.02760081571,16441299.74114083,-1.14321486,1.61889862,4.25436878,897587118.8617661,2021-02-16T16:53:07.000Z
2566,Ontology,ONT,ontology,147,2018-03-08T00:00:00.000Z,"['enterprise-solutions', 'identity', 'binance-smart-chain', 'dot-ecosystem']",1000000000.0,807932992.0,1000000000.0,,65,2021-02-16T16:53:06.000Z,1.09862279517614,936940133.9198122,-2.45736559,-5.13565189,34.57049073,887613601.9860619,2021-02-16T16:53:06.000Z
1808,OMG Network,OMG,omg,270,2017-07-14T00:00:00.000Z,"['medium-of-exchange', 'payments', 'state-channels']",140245399.0,140245398.24513277,140245398.24513277,,66,2021-02-16T16:53:07.000Z,6.13963455537233,770073140.6712284,-1.27175516,-5.02042259,22.85486772,861055493.2977712,2021-02-16T16:53:07.000Z
1934,Loopring,LRC,loopring,95,2017-08-30T00:00:00.000Z,"['marketplace', 'decentralized-exchange', 'defi']",1374513896.0,1217930981.3743827,1374378440.4424574,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xbbbbca6a901c926f240b89eacb641d8aec7aeafd'}",67,2021-02-16T16:53:08.000Z,0.68959291269308,79900444.94706531,-3.0681142,-7.44505953,6.10592332,839876572.9051019,2021-02-16T16:53:08.000Z
1567,Nano,NANO,nano,56,2017-03-06T00:00:00.000Z,"['pow', 'blake2b', 'medium-of-exchange', 'payments']",133248298.0,133248297.197,133248297.197,,68,2021-02-16T16:54:05.000Z,6.26210578085666,139444998.78637215,-5.85340597,-8.60176203,40.38643851,834414932.16664,2021-02-16T16:54:05.000Z
